theme,task,target,args,run_time
inference,randomBN,pyAgrumTest, 10 1,0.2495349884033203
inference,randomBN,pyAgrumTest, 20 1,0.26342043876647947
inference,randomBN,pyAgrumTest, 30 1,0.2653490543365479
inference,randomBN,pyAgrumTest, 50 1,0.3122542858123779
inference,randomBN,pyAgrumTest, 70 1,0.33840508460998536
inference,randomBN,pyAgrumTest, 100 1,0.3594554901123047
inference,randomBN,pyAgrumTest, 10 3,0.27193751335144045
inference,randomBN,pyAgrumTest, 20 3,0.264314079284668
inference,randomBN,pyAgrumTest, 30 3,0.29625706672668456
inference,randomBN,pyAgrumTest, 50 3,0.3337553024291992
inference,randomBN,pyAgrumTest, 70 3,0.3519434928894043
inference,randomBN,pyAgrumTest, 100 3,0.39506044387817385
inference,randomBN,pyAgrumTest, 10 5,0.25975856781005857
inference,randomBN,pyAgrumTest, 20 5,0.26202783584594724
inference,randomBN,pyAgrumTest, 30 5,0.28657283782958987
inference,randomBN,pyAgrumTest, 50 5,0.3327437400817871
inference,randomBN,pyAgrumTest, 70 5,0.44269814491271975
inference,randomBN,pyAgrumTest, 100 5,0.6029703617095947
Miscellenaous,BIFreading,pyAgrumTest,asia.bif 1,0.23353981971740723
Miscellenaous,BIFreading,pyAgrumTest,alarm.bif 2,0.2769066095352173
Miscellenaous,BIFreading,pyAgrumTest,Mildew.bif 3,18.813209176063538
Miscellenaous,BIFreading,pyAgrumTest,Diabetes.bif 4,17.825038194656372
